TransactionID,CustomerID,Product,Category,Price,Quantity,PaymentType,City,Country,TransactionDate,DiscountApplied,Rating,Browser,Device,SessionDuration,CouponCode,ReturnStatus,Warehouse,ShippingType,ReviewText
370,1747,Headphones,Fashion,7909,4,Cash,Hyderabad,IND,02/03/2023,No,4.516436774,Safari,,258,,Not Returned,WH3,Express,Average
2465,1254,Laptop,,8222,1,,Delhi,IN,02/03/2023,Yes,3.397888878,,,173,OFF20,,WH1,Standard,Average
1388,1621,Headphones,Electronics,11020,3,NetBanking,Mumbai,IN,April 5 2023,Y,2.404900943,,Desktop,265,YIrSES,Returned,,,Good
1844,1307,Mobile,Fashion,50681,4,Card,Hyderabad,India,April 5 2023,,1.005621444,Safari,Tablet,293,,Returned,,Express,
33,1823,Shoes,Electronics,42289,3,NetBanking,Hyderabad,,2023-01-01,No,1.915775404,Edge,Tablet,81,YIrSES,,,Standard,Bad
4014,1612,,Electronics,907,1,UPI,Hyderabad,,April 5 2023,Y,4.490252917,,Mobile,392,OFF20,Not Returned,WH2,,Average
1619,1178,Mobile,Electronics,21694,1,UPI,Delhi,IND,02/03/2023,,4.390320592,,Desktop,376,SAVE10,Not Returned,WH2,Standard,Good
2325,1034,Headphones,Accessories,74680,3,,Chennai,IN,April 5 2023,Y,2.295647929,Edge,Desktop,446,,Returned,WH2,Express,
2128,1955,Dress,Fashion,63698,2,NetBanking,Hyderabad,,April 5 2023,No,1.481036797,Safari,Desktop,73,SAVE10,Not Returned,WH3,,
1292,1754,Shoes,Electronics,45690,4,Card,Chennai,,02/03/2023,Yes,3.059768481,Safari,Desktop,333,OFF20,,WH2,,Average
3662,1488,,Fashion,14833,1,,,IND,,,3.779140286,Safari,Desktop,295,,,,,Bad
1967,1166,,Electronics,36878,3,Card,Chennai,India,02/03/2023,Yes,4.691188006,Edge,Desktop,498,SAVE10,Returned,WH3,,
3387,1607,,,27254,3,UPI,,IN,April 5 2023,Y,3.756246322,Safari,,99,OFF20,,WH2,Standard,
4437,1130,Headphones,,20245,4,Cash,Chennai,India,April 5 2023,,4.056243058,Edge,,326,SAVE10,Not Returned,WH1,Express,Bad
641,1038,,Accessories,76214,4,,Delhi,India,,Y,3.746731645,Safari,,53,,Not Returned,WH3,Express,
1438,1592,Headphones,,85108,4,Card,Hyderabad,IND,April 5 2023,N,2.38763817,Safari,Mobile,306,SAVE10,Returned,WH3,Standard,Good
3975,1074,Dress,Electronics,10139,3,NetBanking,,IN,02/03/2023,Yes,1.012171909,,Desktop,162,SAVE10,,WH3,Express,
1907,1592,Headphones,Electronics,25829,3,UPI,Delhi,IN,02/03/2023,N,1.901339447,Safari,Tablet,412,SAVE10,Returned,,Express,Average
625,1264,,Fashion,16581,4,Cash,Mumbai,,2023-01-01,Y,4.698690449,,Tablet,133,YIrSES,,,Express,
2460,1331,Shoes,Fashion,33294,3,,,IN,April 5 2023,No,4.232720732,Edge,Tablet,136,YIrSES,Not Returned,WH1,Standard,Bad
2639,1552,Laptop,,28382,4,,Mumbai,IND,,No,3.864381984,Safari,Tablet,208,YIrSES,,WH1,Standard,Bad
1514,1684,Headphones,,70714,1,UPI,Hyderabad,IN,,,4.590884634,Safari,,432,,Returned,WH2,Express,Bad
3500,1751,Headphones,Electronics,80214,3,NetBanking,Mumbai,IN,,,3.645018388,Safari,Desktop,123,OFF20,Returned,WH2,Standard,Average
1802,1037,Shoes,,82646,4,,Mumbai,IN,2023-01-01,No,1.047134932,Edge,Mobile,140,YIrSES,Returned,WH2,,Average
3263,1710,Dress,,93868,4,Cash,Mumbai,India,2023-01-01,Y,3.984219439,Edge,Desktop,287,YIrSES,Not Returned,,,Good
4295,1652,Dress,,43213,2,UPI,Hyderabad,IND,2023-01-01,N,4.313456896,Edge,Desktop,269,OFF20,Returned,WH2,,
1594,1081,,Accessories,23406,2,,Hyderabad,India,02/03/2023,Y,4.65171028,Edge,Desktop,80,OFF20,,WH3,Express,Average
544,1398,Mobile,Electronics,16900,3,NetBanking,Chennai,India,02/03/2023,No,3.02044661,Chrome,Desktop,18,YIrSES,Not Returned,WH3,Standard,Bad
4515,1391,Mobile,Electronics,84129,3,UPI,Hyderabad,India,2023-01-01,Yes,3.996615661,Edge,Mobile,23,OFF20,Not Returned,WH1,Standard,Bad
3767,1777,Laptop,Fashion,5547,3,UPI,Mumbai,,02/03/2023,,2.260387145,Edge,Tablet,434,YIrSES,Returned,WH1,Standard,Good
663,1023,Dress,Accessories,91108,1,,,India,02/03/2023,Y,2.016018315,Edge,Desktop,324,YIrSES,Not Returned,,Standard,Good
4236,1881,Shoes,,57997,1,UPI,Mumbai,India,April 5 2023,No,4.301071971,,Mobile,261,YIrSES,Returned,WH2,,
3852,1089,Shoes,Accessories,85310,1,UPI,Hyderabad,IN,April 5 2023,Yes,2.73870354,,Tablet,98,OFF20,Not Returned,WH2,,Good
3928,1390,Dress,,47134,3,UPI,Delhi,,2023-01-01,Y,3.924118097,Safari,,142,OFF20,,WH3,Standard,Bad
2716,1780,Laptop,Fashion,53212,3,NetBanking,Mumbai,,April 5 2023,N,3.354281107,,Tablet,79,YIrSES,,,Express,Good
3091,1318,Shoes,,20944,1,Card,Mumbai,,April 5 2023,,1.223341041,Safari,,339,SAVE10,Not Returned,WH1,,Good
1892,1052,,Fashion,1528,4,,Delhi,India,,Yes,3.9370038,,Tablet,495,YIrSES,Not Returned,,Express,Average
3763,1327,Dress,Fashion,87826,3,Cash,Delhi,,02/03/2023,No,3.101354462,Chrome,,72,,,WH3,Standard,Good
2200,1472,,Fashion,33016,3,Card,Hyderabad,IND,April 5 2023,,2.88932258,Edge,Tablet,27,YIrSES,,WH1,,Bad
1371,1497,Shoes,Electronics,22666,1,Cash,Delhi,IN,April 5 2023,,2.93427678,Edge,Mobile,204,,,WH1,Express,Average
4686,1818,Dress,Electronics,29969,4,Card,Delhi,India,2023-01-01,Yes,2.995732809,Safari,Tablet,492,OFF20,Returned,WH3,Express,
2188,1003,Headphones,Accessories,9256,4,NetBanking,Chennai,,02/03/2023,N,4.690995649,Safari,,207,OFF20,Returned,WH1,Standard,Bad
2234,1652,Dress,Electronics,21827,3,Card,Hyderabad,India,,,2.536415428,,Mobile,264,SAVE10,Not Returned,WH3,,Bad
1133,1368,Shoes,Electronics,95104,3,Card,Delhi,IN,,Yes,1.538010685,Edge,Tablet,323,YIrSES,,WH2,Express,Bad
2448,1344,Laptop,Accessories,94512,4,NetBanking,Delhi,,April 5 2023,No,3.323476877,Edge,Mobile,228,,Returned,WH3,,Good
2957,1400,Mobile,,32045,2,NetBanking,,IND,,Yes,1.834110937,Chrome,Desktop,80,,,WH1,Express,Good
4654,1971,Dress,Accessories,94352,1,,Delhi,IND,,Y,2.502104931,Chrome,,479,OFF20,,,,Good
3980,1209,,Electronics,51197,2,UPI,Delhi,IND,April 5 2023,N,4.555616774,Edge,Tablet,444,OFF20,Not Returned,WH3,,Good
4543,1232,Mobile,,65813,4,UPI,Mumbai,IN,2023-01-01,N,1.50166711,Edge,,478,YIrSES,Returned,WH3,Standard,Good
676,1450,Dress,,32203,4,Cash,Chennai,,,No,4.279892983,Edge,Desktop,295,YIrSES,Not Returned,WH2,,Average
1873,1121,,,58689,4,NetBanking,Delhi,India,02/03/2023,N,1.609450973,Edge,Mobile,202,YIrSES,Not Returned,WH2,Express,Good
4303,1101,Laptop,,51872,2,NetBanking,Chennai,,,No,3.441120461,Chrome,,173,SAVE10,Not Returned,,,
1915,1998,Headphones,Electronics,18165,4,Cash,Mumbai,IN,02/03/2023,No,3.74464359,,Mobile,385,OFF20,Returned,WH3,,
1850,1282,Laptop,,50094,3,NetBanking,Chennai,India,,No,4.725811885,Chrome,Mobile,141,,Not Returned,,Express,Average
1123,1054,,Electronics,64298,1,UPI,Mumbai,IN,02/03/2023,No,1.638891858,Edge,Mobile,419,,,WH3,Express,Bad
2687,1355,Headphones,Electronics,31306,1,Cash,Hyderabad,IN,,Y,2.391596687,,,218,OFF20,,WH2,,Bad
4734,1153,Shoes,Accessories,52310,4,Card,Delhi,IND,02/03/2023,Y,3.866707714,Chrome,Tablet,118,,,,,Bad
158,1301,Dress,Fashion,75296,1,NetBanking,,,,,1.986359496,Chrome,,239,OFF20,Not Returned,,Express,Bad
71,1484,Headphones,Fashion,76891,2,Cash,Delhi,IND,,N,3.345626505,Chrome,,370,SAVE10,Returned,,Standard,
231,1215,,Fashion,63897,3,Cash,Delhi,IND,02/03/2023,,2.507935421,,Mobile,465,SAVE10,Returned,,,Average
2272,1361,Headphones,,64236,2,NetBanking,Mumbai,,02/03/2023,N,3.532390672,Chrome,Tablet,470,OFF20,Not Returned,WH3,Standard,Bad
3860,1103,Headphones,Accessories,5376,2,Card,Delhi,India,,No,3.516755424,Chrome,,303,OFF20,Returned,WH1,Standard,Bad
4271,1486,Laptop,Fashion,38082,1,UPI,,IN,2023-01-01,N,4.701629488,Edge,Mobile,461,YIrSES,Not Returned,WH2,,Good
4370,1863,Laptop,,65171,4,Card,Chennai,India,,Yes,4.775032876,,Tablet,89,SAVE10,Not Returned,WH2,,Bad
3562,1757,Headphones,Electronics,38484,1,UPI,Mumbai,India,,No,2.795701954,,Desktop,257,SAVE10,Not Returned,,Express,Good
2174,1257,,Accessories,43164,3,Cash,Delhi,IN,,No,3.400152749,Edge,Tablet,264,,,WH1,,Average
4563,1178,Mobile,,51592,4,Card,,India,2023-01-01,Yes,3.917641274,,,275,YIrSES,,WH2,Standard,Average
3702,1200,,,50392,2,Cash,Chennai,,April 5 2023,N,3.845109586,Chrome,Desktop,211,SAVE10,,WH1,Standard,Good
4342,1959,Shoes,,67213,3,NetBanking,Chennai,IN,2023-01-01,No,2.937719964,Edge,,158,YIrSES,,,Express,Average
373,1885,Laptop,Electronics,99482,1,UPI,Delhi,IND,2023-01-01,No,1.386421644,,Tablet,217,,,,,Bad
4696,1711,Shoes,Fashion,66645,3,,Hyderabad,IN,April 5 2023,No,4.229729737,Edge,Desktop,46,SAVE10,Not Returned,WH2,,Average
2543,1772,Mobile,Electronics,17137,2,Card,Delhi,,02/03/2023,N,4.457820864,Safari,Tablet,229,OFF20,,WH3,Express,
4848,1894,Laptop,,12703,1,NetBanking,Delhi,IND,2023-01-01,,3.240581178,Safari,,497,YIrSES,Not Returned,WH2,,Average
2043,1369,Mobile,Electronics,94516,3,Card,Hyderabad,,02/03/2023,N,4.595369114,,Tablet,175,,Returned,,Express,Good
1513,1227,Dress,Accessories,6140,1,Cash,Hyderabad,IND,,,3.519573404,,Desktop,419,SAVE10,Returned,WH2,,Good
2212,1873,Laptop,Accessories,48488,4,Card,,IND,April 5 2023,No,4.500314542,Safari,,310,OFF20,,WH3,Standard,
2766,1987,Dress,,36443,2,Cash,Chennai,IN,2023-01-01,No,3.955788949,Edge,Tablet,372,SAVE10,,WH3,,Good
3416,1798,Dress,Fashion,1912,1,Cash,Mumbai,India,02/03/2023,,4.589370076,,,35,YIrSES,,,Standard,Average
4742,1502,Shoes,,59105,1,Card,Mumbai,,02/03/2023,,1.121234264,Chrome,Tablet,43,YIrSES,Not Returned,WH3,,Bad
84,1255,Dress,,30919,2,NetBanking,Mumbai,,April 5 2023,,2.275331117,,,154,OFF20,Returned,WH3,Express,
3614,1297,Headphones,Accessories,54410,3,,Chennai,,02/03/2023,,2.488309441,Edge,Desktop,250,YIrSES,Not Returned,WH2,Standard,Good
961,1752,Headphones,Fashion,86360,2,NetBanking,,IND,2023-01-01,,4.668491757,Safari,Desktop,434,SAVE10,,WH3,Express,Bad
2182,1210,,,11174,4,Card,,IN,April 5 2023,Y,3.224679078,Chrome,Mobile,137,YIrSES,Returned,WH1,Standard,Average
703,1063,Laptop,Fashion,54452,1,,Delhi,IN,2023-01-01,Y,2.366373992,Edge,Mobile,478,OFF20,,WH3,,
3050,1089,Mobile,Fashion,36979,4,NetBanking,Hyderabad,India,,N,3.366643438,Edge,,90,SAVE10,,WH2,Express,Good
4382,1308,Mobile,Fashion,89613,2,Card,Delhi,India,2023-01-01,No,4.86454687,Chrome,Desktop,90,YIrSES,Not Returned,WH1,Standard,
2152,1321,,Fashion,84855,4,UPI,Delhi,India,,N,1.26306216,Safari,Mobile,387,OFF20,,,Standard,Good
4360,1277,,Electronics,55596,3,UPI,Hyderabad,,2023-01-01,,4.695411118,,Desktop,382,SAVE10,,WH1,Express,
1887,1523,Laptop,Accessories,82221,4,Card,,,April 5 2023,,3.052549616,Safari,Mobile,181,OFF20,Returned,,,Good
2596,1790,Mobile,Fashion,75602,1,,Chennai,IN,02/03/2023,Yes,1.227393389,Edge,Mobile,155,,Returned,WH3,Express,Bad
1209,1786,Shoes,Electronics,85128,2,UPI,Mumbai,,02/03/2023,Yes,2.866777482,Safari,Mobile,356,SAVE10,,WH3,,Bad
2531,1946,Laptop,Electronics,11703,3,NetBanking,Chennai,,02/03/2023,Y,2.772149663,Edge,,219,SAVE10,Returned,WH2,Standard,Good
515,1852,Headphones,Electronics,77410,2,Card,Hyderabad,,April 5 2023,Y,3.867231371,Safari,Desktop,54,YIrSES,Returned,WH1,,Bad
1785,1521,,Accessories,13784,4,UPI,Mumbai,India,02/03/2023,N,4.007568296,Edge,Mobile,348,YIrSES,Returned,,Express,Average
224,1471,,Accessories,35931,3,,Mumbai,India,April 5 2023,,3.441909647,Chrome,Tablet,261,OFF20,,WH3,Express,
3128,1523,Laptop,,11197,4,Cash,Chennai,IN,2023-01-01,Yes,1.110594993,Edge,Mobile,220,SAVE10,Returned,WH1,Standard,Average
2195,1156,Dress,Electronics,95711,3,NetBanking,Mumbai,India,,Yes,1.54694959,Chrome,Tablet,335,YIrSES,Not Returned,,Standard,Bad
4976,1675,Dress,Fashion,26948,1,Cash,,IND,02/03/2023,No,1.24677258,Chrome,Mobile,328,OFF20,Returned,WH2,Express,Average
3364,1762,Laptop,,20668,2,,Mumbai,,,,2.783964724,Chrome,,344,YIrSES,Returned,WH1,Express,
491,1859,Laptop,Accessories,7476,2,Cash,Hyderabad,,02/03/2023,N,4.83594575,Edge,Mobile,20,OFF20,Not Returned,,,Good
2849,1007,Mobile,Fashion,33931,2,NetBanking,Hyderabad,IND,02/03/2023,Yes,1.13610921,Edge,Tablet,43,,Returned,,,
816,1034,Dress,Fashion,19717,2,UPI,Mumbai,India,April 5 2023,N,2.01497602,Edge,,98,SAVE10,,WH3,Standard,Bad
1946,1416,Headphones,Fashion,47883,3,Card,Delhi,IND,,N,4.449815271,Edge,Tablet,3,,,WH1,Express,
3647,1032,,Fashion,74297,1,,Hyderabad,IN,2023-01-01,,3.861761736,,Desktop,36,,Returned,WH1,Express,Good
3275,1532,,Fashion,80653,3,,,IN,2023-01-01,,2.448844811,Safari,Desktop,130,OFF20,Returned,WH3,,
4622,1295,Mobile,Electronics,86365,1,Card,Chennai,IN,,,2.425022733,,,399,SAVE10,Returned,WH1,Express,Bad
3311,1596,Dress,Accessories,60571,4,UPI,Delhi,IN,2023-01-01,N,3.469064226,Safari,Mobile,305,,Not Returned,WH3,,
4584,1225,Laptop,Accessories,48115,3,,Hyderabad,,02/03/2023,Yes,4.994391685,Chrome,Tablet,68,OFF20,Returned,WH1,Standard,Average
3543,1625,Mobile,Electronics,11537,2,,Delhi,IN,02/03/2023,N,4.996105357,Chrome,Tablet,365,,Returned,WH2,Express,Bad
324,1225,Laptop,,37323,4,UPI,Hyderabad,IN,02/03/2023,N,2.531156646,Edge,Desktop,158,YIrSES,,WH2,Express,Good
232,1197,Laptop,,42203,4,,,India,02/03/2023,,2.641230707,,,442,SAVE10,,WH2,,Average
4082,1308,Headphones,Fashion,10252,3,Cash,Mumbai,IN,,,4.476716685,,Tablet,113,YIrSES,Returned,,Standard,Bad
4343,1943,,Electronics,14910,3,Cash,Hyderabad,IND,2023-01-01,No,4.863955719,Safari,,8,YIrSES,Returned,,Standard,Good
4960,1939,Mobile,Accessories,71985,3,Card,Hyderabad,,,,1.754496699,Safari,Tablet,94,YIrSES,,WH1,Express,Average
2965,1832,Dress,Electronics,93858,3,NetBanking,Delhi,IND,April 5 2023,,1.811806684,Chrome,,67,SAVE10,,WH2,Standard,Good
623,1295,Laptop,,64433,1,Cash,Delhi,IND,,No,1.000891309,Edge,Mobile,444,,,WH1,Express,Good
4275,1914,Laptop,Electronics,11703,2,Card,Hyderabad,,April 5 2023,Yes,4.159405736,Chrome,Tablet,84,,Returned,,Express,
4668,1773,Laptop,Electronics,14815,4,Cash,Chennai,India,2023-01-01,No,1.697400777,,Desktop,487,OFF20,,,Express,Good
3633,1271,Shoes,Accessories,94847,3,Card,Hyderabad,IN,,Y,1.906856692,Edge,Tablet,390,YIrSES,,WH2,Standard,Bad
1656,1725,Headphones,Electronics,60864,1,NetBanking,Hyderabad,India,2023-01-01,N,3.324777607,,Mobile,430,,,WH3,Express,
3813,1068,Headphones,Accessories,36741,1,,,India,April 5 2023,N,2.477836958,Safari,Mobile,430,SAVE10,,WH1,Express,Average
559,1991,Mobile,Electronics,77357,4,,Delhi,IND,02/03/2023,Y,1.509229931,Safari,Tablet,199,OFF20,Returned,WH2,Express,
2115,1078,Headphones,,75896,2,UPI,Mumbai,India,02/03/2023,N,2.987497353,,Desktop,340,,Returned,,Standard,Average
1829,1511,Mobile,Fashion,82207,1,NetBanking,Chennai,IN,,N,2.391417136,Edge,Mobile,275,,,WH3,Express,
4747,1930,,,96476,1,Card,Hyderabad,India,02/03/2023,,3.608027123,,Mobile,225,YIrSES,Returned,,Express,Bad
4478,1079,Shoes,Fashion,7205,4,Card,Delhi,,April 5 2023,Y,4.14429508,Edge,,469,YIrSES,Returned,WH3,Express,Good
2352,1309,Mobile,Fashion,77397,2,,Chennai,IND,2023-01-01,N,3.609603024,,Tablet,363,,,,Express,Bad
3026,1586,,Electronics,44026,3,Cash,Chennai,,April 5 2023,Y,2.238935762,Edge,Mobile,499,OFF20,Not Returned,WH3,Express,Bad
330,1137,Mobile,Electronics,1489,4,,Delhi,IN,April 5 2023,Yes,1.86460598,Safari,Mobile,207,,Not Returned,WH3,,Average
1071,1920,Dress,Electronics,78019,2,,Mumbai,,2023-01-01,Yes,4.579122928,Edge,,435,YIrSES,Not Returned,WH1,Standard,
2645,1427,Mobile,,68253,2,Card,Hyderabad,IN,02/03/2023,,1.052520549,Safari,Tablet,457,SAVE10,,,Standard,Bad
2220,1502,Mobile,,37668,1,,Hyderabad,,02/03/2023,N,3.818104196,Safari,,449,YIrSES,,WH2,Standard,Good
2282,1794,Mobile,Accessories,15471,3,NetBanking,Mumbai,IN,,Yes,4.720736794,Safari,Desktop,280,OFF20,Not Returned,WH3,Standard,Good
3733,1019,,Electronics,41994,2,Cash,,IN,02/03/2023,N,3.744357825,Edge,,416,OFF20,,WH1,,Average
4507,1847,Headphones,Fashion,2595,4,Cash,Mumbai,India,2023-01-01,Yes,1.632524911,Chrome,Mobile,221,SAVE10,,WH3,Express,Average
450,1037,Headphones,Fashion,17186,4,,Delhi,India,2023-01-01,N,3.260686777,Safari,Desktop,88,,,WH2,Express,Average
747,1691,Dress,Accessories,55394,2,,Chennai,IND,,Yes,4.751366622,Safari,,68,SAVE10,,WH3,Standard,Good
2745,1981,Shoes,,42434,1,Cash,Delhi,IND,,No,1.182914041,Chrome,Desktop,157,OFF20,Returned,WH1,Standard,Good
3064,1529,Shoes,Electronics,80602,2,NetBanking,Hyderabad,IND,2023-01-01,Y,1.529334043,Edge,Mobile,96,YIrSES,,WH3,Express,Good
4329,1184,Mobile,,7418,2,,,IND,02/03/2023,No,3.635361473,Chrome,Tablet,407,OFF20,Returned,WH3,,Average
4383,1487,,Accessories,79174,4,Card,Mumbai,,2023-01-01,,4.571254816,,Tablet,465,YIrSES,Not Returned,WH3,Standard,Average
2646,1447,Shoes,Accessories,86035,3,Card,Chennai,IN,,Y,4.230590569,Edge,Tablet,149,SAVE10,,WH3,,
114,1067,Laptop,Fashion,50487,1,NetBanking,,India,02/03/2023,Y,1.279855782,Edge,Mobile,346,,,WH1,,Good
2214,1423,Mobile,Fashion,47051,2,NetBanking,,IND,02/03/2023,N,1.984605534,,,330,OFF20,Not Returned,,,
3030,1978,Headphones,Accessories,18255,3,NetBanking,Mumbai,IN,02/03/2023,N,3.268131523,Safari,Tablet,429,YIrSES,Not Returned,WH1,Express,Average
29,1608,Headphones,Accessories,89593,3,,Chennai,IND,,No,2.156597282,,,464,,Not Returned,WH1,Express,Average
2507,1362,,Accessories,77332,4,NetBanking,Delhi,IND,April 5 2023,,2.40493508,Edge,,455,,Returned,WH2,Standard,
1496,1279,Dress,Accessories,34335,4,NetBanking,,IND,02/03/2023,,2.717671703,Safari,Tablet,471,SAVE10,,WH3,Standard,Average
378,1385,Laptop,,70978,4,UPI,Delhi,India,2023-01-01,Yes,1.891837802,Chrome,,133,OFF20,,WH1,Standard,Bad
1763,1887,Laptop,Accessories,13093,2,UPI,Chennai,India,02/03/2023,Y,4.434003032,Safari,,398,SAVE10,,WH2,,Average
911,1812,Dress,,51286,2,NetBanking,Delhi,India,2023-01-01,N,4.941582275,Chrome,Mobile,345,OFF20,Returned,WH2,Express,
3637,1038,,Electronics,29840,2,,Mumbai,IN,02/03/2023,Yes,3.897306621,Safari,Desktop,129,YIrSES,Not Returned,WH2,Standard,Average
4626,1929,Shoes,Fashion,36031,3,NetBanking,Delhi,IND,,No,4.901534347,,Tablet,279,OFF20,Not Returned,WH2,Express,Good
214,1497,Shoes,,27802,3,,Mumbai,India,2023-01-01,Y,3.560541322,Chrome,Desktop,21,YIrSES,Not Returned,,Standard,
1918,1151,Laptop,Fashion,2185,2,Card,Chennai,IN,2023-01-01,N,4.128505,Safari,,407,SAVE10,,,Express,Good
3527,1675,,Fashion,74740,4,Card,Hyderabad,IN,,N,1.054959158,Edge,Tablet,37,YIrSES,Returned,WH2,Standard,
4270,1702,Laptop,,95287,1,UPI,,India,02/03/2023,Yes,4.594469422,Edge,,118,SAVE10,,WH1,Standard,Good
